Title,Author,ISBN,Average Rating,Publication Date,Rating
Shadow and Bone,Leigh Bardugo,,3.94,,0
Fire in Her Dreams,Ruby Dixon,,4.11,,0
The Becoming,Nora Roberts,,4.35,,0
Legacy,Nora Roberts,,4.17,,0
Freed,E.L. James,,4.08,,0
Wolf Shunned,Laurel Night,,3.97,,0
Bloodshed Academy: Year Two,Jen L. Grey,,4.30,,0
Bloodshed Academy: Year One,Jen L. Grey,,4.04,,0
Magic Redeemed,K.M. Shea,,4.36,,0
Crown of Moonlight,K.M. Shea,,4.42,,0
Crown of Shadows,K.M. Shea,,4.19,,0
Crown of Power,Melanie Cellier,,4.25,,0
Sol 2781,Janet Edwards,,4.58,,0
Running with the Pack,Lola Glass,,4.34,,0
Rejection on the Full Moon,Alana Dyer,,4.09,,0
Forging Darkness,Julie Hall,,4.18,,0
Huntress,Julie Hall,,4.08,,0
Stealing Embers,Julie Hall,,4.10,,0
Legacy,Mazzy J. March,,4.10,,0
Second Growl,Mazzy J. March,,4.01,,0
Survivor,Mazzy J. March,,3.98,,0
Shifted Rule,Elena Lawson,,4.25,,0
Shifted Soul,Elena Lawson,,4.10,,0
Shifted Fate,Elena Lawson,,4.14,,0
Crown of Strength,Melanie Cellier,,4.26,,0
The Great Test Book,Testy McTesterson,,3.33,,0
Hawk,James Patterson,,3.96,,0
Crown of Secrets,Melanie Cellier,,3.98,,0
Crown of Danger,Melanie Cellier,,4.14,,0
Dom,Kristin Coley,,4.13,,0
The Alpha,Kristin Coley,,4.29,,0
The Challenge,Kristin Coley,,4.26,,0
The Pack,Kristin Coley,,4.11,,0
Paragon & Jubilee,Ellen Feld,,5.00,,0
Rage and Ruin,Jennifer L. Armentrout,,4.17,,0
Storm and Fury,Jennifer L. Armentrout,,4.08,,0
Grace and Glory,Jennifer L. Armentrout,,4.04,,0
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,,4.58,,0
Finding Us,M.K. Harper,,4.24,,0
Finding Me,M.K. Harper,,4.15,,0
Finding You,M.K. Harper,,4.10,,0
The Kill,Alainna MacPherson,,4.11,,0
The Chase,Alainna MacPherson,,4.17,,0
The Hunt,Alainna MacPherson,,3.86,,0
Luna Chosen,Sara Snow,,4.31,,0
Luna Captured,Sara Snow,,4.12,,0
Luna Darkness,Sara Snow,,4.27,,0
Luna Conflicted,Sara Snow,,4.24,,0
Luna Rising,Sara Snow,,3.97,,0
Power of Pen and Voice,Melanie Cellier,,4.25,,0
Voice of Life,Melanie Cellier,,4.40,,0
The Villain Institute,Megan Linski,,4.16,,0
The Soul Sacrifice,Megan Linski,,4.52,,0
The Elemental War,Megan Linski,,4.47,,0
The Air Omen,Megan Linski,,4.41,,0
The Hawthorne Legacy,Jennifer Lynn Barnes,,4.23,,0
Kingdom of Sea and Stone,Mara Rutherford,,3.68,,0
Earth Prime,Janet Edwards,,4.57,,0
The Awakening,Nora Roberts,,4.22,,0
Shadows in Death,J.D. Robb,,4.43,,0
The Inheritance Games,Jennifer Lynn Barnes,,4.19,,0
To Sleep in a Sea of Stars,Christopher Paolini,,3.79,,0
Romeo and Juliet,William Shakespeare,,3.74,,0
Brazen Virtue,Nora Roberts,,3.92,,0
Brindle Dragon Boxed Set #1-9,Jada Fisher,,4.55,,0
Hideaway,Nora Roberts,,4.06,,0
The Tales of Beedle the Bard,J.K. Rowling,,4.04,,0
Alpha Erased,Aileen Erin,,4.37,,0
Lunar Court,Aileen Erin,,4.32,,0
Being Alpha,Aileen Erin,,4.29,,0
Shattered Pack,Aileen Erin,,4.28,,0
Alpha Unleashed,Aileen Erin,,4.29,,0
Bruja,Aileen Erin,,4.22,,0
Alpha Divided,Aileen Erin,,4.17,,0
Avoiding Alpha,Aileen Erin,,4.11,,0
Becoming Alpha,Aileen Erin,,4.09,,0
Chosen Ones,Veronica Roth,,3.60,,0
Crown of Coral and Pearl,Mara Rutherford,,3.88,,0
Parental Guidance,Avery Flynn,,3.70,,0
Awk-Weird,Avery Flynn,,3.79,,0
The Husband Hunt,Lynsay Sands,,3.80,,0
The Heiress,Lynsay Sands,,3.70,,0
The Countess,Lynsay Sands,,3.82,,0
The Loving Daylights,Lynsay Sands,,3.91,,0
Don't Doubt,Tammy Falkner,,4.29,,0
Harry Potter and the Sorcerer's Stone,J.K. Rowling,,4.47,,0
Immortal Born,Lynsay Sands,,4.19,,0
Making a Play,Abbi Glines,,3.79,,0
Borderline,Janet Edwards,,4.59,,0
Best I've Ever Had,Abbi Glines,,3.85,,0
The Mister,E.L. James,,3.41,,0
Golden Eyes,Nicole Luiken,,4.03,,0
The Witness,Nora Roberts,,4.24,,0
New York to Dallas,J.D. Robb,,4.44,,0
Scavenger Blood,Janet Edwards,,4.37,,0
Harry Potter and the Sorcerer's Stone,J.K. Rowling,,4.47,,0
Harry Potter and the Sorcerer's Stone,J.K. Rowling,,4.47,,0
The Rise of Magicks,Nora Roberts,,4.16,,0
Under Currents,Nora Roberts,,4.13,,0
Golden In Death,J.D. Robb,,4.38,,0
Vendetta in Death,J.D. Robb,,4.36,,0
The Earth Legend,Megan Linski,,4.35,,0
The Water Legacy,Megan Linski,,4.29,,0
Unleashed,Jada Fisher,,4.38,,0
Magic,Jada Fisher,,4.37,,0
"Boy, Snow, Bird",Helen Oyeyemi,,3.35,,0
Repeat,Kylie Scott,,4.07,,0
The Trouble With Vampires,Lynsay Sands,,4.20,,0
Matilda,Roald Dahl,,4.33,,0
On the Come Up,Angie Thomas,,4.28,,0
Apprentice of Magic,K.M. Shea,,4.19,,0
The Fire Prophecy,Megan Linski,,4.00,,0
Oracle,Jada Fisher,,3.99,,0
Ambushed,Jada Fisher,,4.42,,0
Taken,Jada Fisher,,4.38,,0
Awakened,Jada Fisher,,4.37,,0
Chosen,Jada Fisher,,4.32,,0
Voice of Dominion,Melanie Cellier,,4.30,,0
Voice of Command,Melanie Cellier,,4.27,,0
Voice of Power,Melanie Cellier,,4.16,,0
Ultraviolet Dawn,B A Schulte,,4.10,,0
Girl Out of Time: Book 2,T. J. Hilton,,4.38,,0
Dark in Death,J.D. Robb,,4.30,,0
Connections in Death,J.D. Robb,,4.31,,0
Barefoot in the Dark,Suzanne Enoch,,4.19,,0
Naked in Death,J.D. Robb,,4.13,,0
The Hate U Give,Angie Thomas,,4.48,,0
Scribbleboy,Philip Ridley,,4.17,,0
The Hellion and the Highlander,Lynsay Sands,,4.15,,0
Taming the Highland Bride,Lynsay Sands,,4.07,,0
The Highlander's Promise,Lynsay Sands,,4.05,,0
Surrender to the Highlander,Lynsay Sands,,4.03,,0
Stars of Fortune,Nora Roberts,,4.03,,0
The Duke's Bride in Disguise,Claudia Stone,,4.15,,0
"Baby, It's Christmas",Chloe Fischer,,3.98,,0
A Crown For Christmas,Rachel Van Dyken,,4.05,,0
Navigating the Stars,Maria V. Snyder,,4.15,,0
What She Wants,Lynsay Sands,,3.96,,0
The Switch,Lynsay Sands,,3.85,,0
The Obsession,Nora Roberts,,4.22,,0
Hurricane,Janet Edwards,,4.50,,0
Perilous,Janet Edwards,,4.24,,0
To All the Boys I've Loved Before,Jenny Han,,4.05,,0
The Black Witch,Laurie Forest,,4.10,,0
Chaser,Kylie Scott,,3.92,,0
Tsunami Blue,Gayle Ann Williams,,3.75,,0
Girl Out of Time: Book 1,T. J. Hilton,,3.80,,0
Leverage in Death,J.D. Robb,,4.38,,0
Secrets in Death,J.D. Robb,,4.32,,0
Don't Film Yourself Having Sex,Emma Sadleir,,4.02,,0
Heart of the Sea,Nora Roberts,,4.15,,0
Of Blood and Bone,Nora Roberts,,4.28,,0
Tears of the Moon,Nora Roberts,,4.19,,0
Born of Night,Sherrilyn Kenyon,,4.19,,0
Under the Lights,Abbi Glines,,3.81,,0
Earth and Air,Janet Edwards,,4.53,,0
Blocked,Jennifer Lane,,3.66,,0
Royal Treatment,Leslie North,,4.09,,0
In the Afterlight,Alexandra Bracken,,4.25,,0
Never Fade,Alexandra Bracken,,4.21,,0
The Darkest Minds,Alexandra Bracken,,4.16,,0
Unfinished Business,Nora Roberts,,3.84,,0
Earth Flight,Janet Edwards,,4.29,,0
Firstlife,Gena Showalter,,3.69,,0
Finding the Dream,Nora Roberts,,4.11,,0
Holding the Dream,Nora Roberts,,4.06,,0
Daring to Dream,Nora Roberts,,4.04,,0
The Decaying Empire,Laura Thalassa,,4.03,,0
Plum Spooky,Janet Evanovich,,3.82,,0
To the Nines,Janet Evanovich,,4.16,,0
Turbo Twenty-Three,Janet Evanovich,,3.87,,0
Takedown Twenty,Janet Evanovich,,3.85,,0
Plum Lovin',Janet Evanovich,,3.75,,0
Tricky Twenty-Two,Janet Evanovich,,3.98,,0
Twelve Sharp,Janet Evanovich,,4.16,,0
Top Secret Twenty-One,Janet Evanovich,,3.89,,0
Eleven on Top,Janet Evanovich,,4.16,,0
Hardcore Twenty-Four,Janet Evanovich,,3.83,,0
The Hundred Thousand Kingdoms,N.K. Jemisin,,3.89,,0
Longing for Love,Marie Force,,4.39,,0
Hoping for Love,Marie Force,,4.33,,0
Words of Silk,Erin St. Claire,,3.58,,0
Hawk OToole’s Hostage - Sang Tawanan,Sandra Brown,,3.70,,0
Fate of Perfection,K.F. Breene,,3.70,,0
The Vanishing Girl,Laura Thalassa,,3.87,,0
The Unwanted Wife,Natasha Anders,,3.80,,0
Ice Like Fire,Sara Raasch,,3.74,,0
One Lucky Vampire,Lynsay Sands,,4.15,,0
Vampire Most Wanted,Lynsay Sands,,4.17,,0
Shelter in Place,Nora Roberts,,4.26,,0
While It Lasts,Abbi Glines,,4.22,,0
The Vincent Boys,Abbi Glines,,3.95,,0
The Law Is a Lady,Nora Roberts,,3.93,,0
Brothers South of the Mason Dixon,Abbi Glines,,4.15,,0
Twice Bitten,Lynsay Sands,,4.29,,0
The Immortal Who Loved Me,Lynsay Sands,,4.13,,0
The King & His Queen,Donna Fletcher,,4.46,,0
Forever Rockers,Terri Anne Browning,,4.49,,0
