Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo",,"=""0062315005""","=""9780062315007""",2,3.90,HarperOne,Paperback,182,2014,1988,2020/08/29,2020/09/01,"owned, 2020","owned (#3), 2020 (#22)",read,,,,1,0
7864437,"The Death Cure (The Maze Runner, #3)",James Dashner,"Dashner, James",,"=""0385738773""","=""9780385738774""",3,3.78,Delacorte Books for Young Readers,Hardcover,325,2011,2011,2020/09/05,2020/09/05,"owned, 2020","owned (#21), 2020 (#18)",read,,,,1,0
26082916,"Ready Player Two (Ready Player One, #2)",Ernest Cline,"Cline, Ernest",,"=""1524761338""","=""9781524761332""",2,3.43,Ballantine Books,Hardcover,370,2020,2020,2020/12/27,2020/12/06,2020,2020 (#1),read,,,,1,0
48845994,The End of Everything (Astrophysically Speaking),Katie  Mack,"Mack, Katie",,"=""""","=""""",3,4.26,Scribner,Kindle Edition,237,2020,2020,2022/03/14,2022/03/14,,,read,,,,1,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",5,3.99,Simon & Schuster ,Paperback,453,2004,1961,2020/08/28,2020/09/01,"owned, 2020","owned (#25), 2020 (#23)",read,,,,1,0
58727511,The Extinction Trials,A.G. Riddle,"Riddle, A.G.",,"=""1940026318""","=""9781940026312""",2,4.01,Legion Books,Kindle Edition,349,2021,2021,2021/12/30,2021/12/30,,,read,,,,1,0
7967,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,"Card, Orson Scott",,"=""0812550757""","=""9780812550757""",4,4.09,Tor Books,Paperback,382,1994,1986,2021/04/05,2021/04/06,2021,2021 (#6),read,,,,1,0
38743564,"Billion Dollar Whale: The Man Who Fooled Wall Street, Hollywood, and the World",Tom         Wright,"Wright, Tom",Bradley Hope,"=""031643650X""","=""9780316436502""",4,4.07,Hachette Books,Hardcover,400,2018,2018,2021/03/04,2021/02/11,2021,2021 (#5),read,,,,1,0
25489625,Between the World and Me,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""""","=""""",4,4.40,Spiegel & Grau,Hardcover,152,2015,2015,2021/03/09,2021/03/10,2021,2021 (#4),read,,,,1,0
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",4,4.21,Harper,Kindle Edition,450,2017,2015,2021/02/17,2021/02/17,2021,2021 (#3),read,,,,1,0
